ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779577206,3249,270,609,36905307,10494.74
1779577211,3254,270,609,36967183,11846.05
1779577216,3259,270,609,37020875,10543.27
1779577221,3264,270,609,37080747,11511.57
1779577226,3269,270,609,37139560,11096.78
1779577231,3274,270,609,37197692,11617.10
1779577237,3280,270,609,37263271,12331.67
1779577242,3285,270,609,37328300,12879.74
1779577247,3290,270,609,37390548,12314.47
1779577252,3295,270,609,37455512,12776.31
1779577257,3300,270,609,37516618,12319.00
1779577262,3305,270,609,37578383,11985.15
1779577267,3310,270,609,37636572,12048.05
1779577272,3315,270,609,37700022,12362.65
1779577277,3320,270,610,37765552,12611.64
1779577282,3325,270,610,37822358,11618.38
1779577288,3331,270,610,37884777,12309.31
1779577293,3336,270,610,37945184,11899.24
1779577298,3341,270,610,38008668,12500.29
1779577303,3346,270,610,38068705,11944.54
1779577308,3351,270,610,38125356,11585.47
1779577313,3356,270,610,38186552,12039.05
1779577318,3361,270,610,38250396,12335.33
1779577323,3366,270,610,38307396,11620.00
1779577328,3371,270,610,38371792,12331.73
1779577333,3376,270,610,38433256,12055.49
1779577338,3381,270,610,38498782,12911.74
1779577344,3387,270,610,38563029,12569.53
1779577349,3392,270,610,38625994,12575.60
1779577354,3397,270,610,38691094,12386.63
1779577359,3402,270,610,38757223,12647.87
1779577364,3407,270,610,38816073,11670.39
1779577369,3412,270,610,38879723,12507.13
1779577374,3417,270,610,38947384,12669.95
1779577379,3422,270,610,39009691,12411.16
1779577384,3427,270,610,39074011,12548.92
1779577390,3433,270,610,39138115,12452.61
1779577395,3438,270,610,39198206,11958.05
1779577400,3443,270,610,39262794,12519.12
